project_id,start_date,end_date,planned_duration_days,actual_duration_days,team_size,num_bugs,num_change_requests,delivery_delay_days,budget_overrun_pct,predicted_risk
P10000,2024-09-25,2025-04-11,192,198,7,3,3,6,0.4,Low
P10001,2022-05-02,2022-10-13,174,164,27,19,16,-10,0.29,High
P10002,2021-10-12,2022-07-03,230,264,8,86,2,34,0.39,High
P10003,2020-06-19,2021-01-25,177,220,14,83,15,43,0.01,High
P10004,2023-02-02,2023-10-18,228,258,25,51,1,30,0.09,Medium
P10005,2024-07-27,2024-11-30,137,126,21,79,16,-11,0.17,Medium
P10006,2023-06-03,2023-10-17,122,136,23,18,15,14,0.31,High
P10007,2022-12-28,2023-07-03,210,187,25,53,17,-23,0.2,Medium
P10008,2021-04-16,2021-11-22,165,220,9,71,2,55,0.57,High
P10009,2023-10-23,2024-02-11,107,111,22,86,1,4,0.41,Medium
P10010,2023-07-17,2024-02-06,178,204,23,38,6,26,0.35,Medium
P10011,2021-11-17,2022-01-27,62,71,15,86,3,9,0.36,Medium
P10012,2022-10-12,2023-05-20,171,220,20,65,12,49,0.36,High
P10013,2021-09-26,2022-01-13,65,109,28,69,0,44,0.21,High
P10014,2020-12-11,2021-08-23,230,255,20,39,14,25,0.21,High
P10015,2023-01-02,2023-04-08,93,96,21,11,13,3,0.03,Low
P10016,2020-01-04,2020-04-18,104,105,6,40,16,1,0.45,High
P10017,2020-02-18,2020-06-14,144,117,10,25,2,-27,0.6,Low
P10018,2020-06-09,2020-11-21,132,165,5,20,11,33,0.45,High
P10019,2024-08-13,2025-02-03,127,174,27,97,18,47,-0.08,High
P10020,2022-10-06,2023-01-09,79,95,19,95,17,16,0.52,High
P10021,2024-10-14,2025-02-01,129,110,20,87,16,-19,0.45,High
P10022,2021-09-07,2022-03-23,183,197,18,66,16,14,0.51,High
P10023,2020-01-20,2020-10-23,223,277,10,32,16,54,0.45,High
P10024,2020-10-31,2021-04-28,131,179,23,24,16,48,0.15,High
P10025,2020-07-14,2021-01-11,163,181,5,29,8,18,-0.04,Low
P10026,2020-08-07,2021-02-09,169,186,29,30,10,17,0.25,Medium
P10027,2020-10-12,2020-12-11,81,60,9,81,13,-21,0.09,Low
P10028,2022-02-26,2022-07-26,157,150,23,92,0,-7,0.31,Medium
P10029,2020-07-02,2021-02-13,197,226,23,27,5,29,0.16,Low
P10030,2021-10-31,2022-04-06,161,157,26,9,6,-4,0.46,Medium
P10031,2020-08-31,2021-04-21,225,233,13,1,5,8,0.06,Low
P10032,2021-06-07,2021-12-22,147,198,29,48,11,51,0.01,High
P10033,2024-04-11,2024-11-23,173,226,25,88,19,53,0.46,High
P10034,2024-12-14,2025-05-19,148,156,26,1,5,8,0.55,Medium
P10035,2024-06-17,2025-01-23,237,220,6,23,6,-17,0.07,Low
P10036,2020-10-25,2021-04-14,141,171,5,52,5,30,0.38,Medium
P10037,2022-05-05,2022-11-25,193,204,28,7,16,11,0.0,Medium
P10038,2020-02-22,2020-08-26,157,186,13,11,16,29,0.19,Medium
P10039,2023-07-15,2023-12-13,94,151,10,26,18,57,0.02,High
P10040,2020-08-03,2021-03-31,190,240,13,11,10,50,0.1,Medium
P10041,2024-01-06,2024-06-27,194,173,13,73,0,-21,0.02,Low
P10042,2022-05-04,2022-07-28,105,85,12,19,12,-20,0.47,High
P10043,2022-08-02,2022-10-06,88,65,20,7,4,-23,0.4,Medium
